ticker,close,date,high,low,month,open,volume,daily_return,price_change,intraday_range,year,month_num,month_name,Company,Sector
ADANIENT,2387.25,2023-10-03 05:30:00,2424.9,2372.0,2023-10,2418.0,2019899,,-30.75,52.90000000000009,2023,10,Oct 2023,Adani Enterprises,Conglomerate
ADANIENT,2464.95,2023-10-04 05:30:00,2502.75,2392.25,2023-10,2402.2,2857377,3.254791077599739,62.75,110.5,2023,10,Oct 2023,Adani Enterprises,Conglomerate
ADANIENT,2466.35,2023-10-05 05:30:00,2486.5,2446.4,2023-10,2477.95,1132455,0.05679628390029556,-11.599999999999909,40.09999999999991,2023,10,Oct 2023,Adani Enterprises,Conglomerate
ADANIENT,2478.1,2023-10-06 05:30:00,2514.95,2466.05,2023-10,2466.35,1510035,0.4764125124171237,11.75,48.899999999999636,2023,10,Oct 2023,Adani Enterprises,Conglomerate
ADANIENT,2442.6,2023-10-09 05:30:00,2459.7,2411.3,2023-10,2440.0,1408224,-1.4325491303821436,2.599999999999909,48.399999999999636,2023,10,Oct 2023,Adani Enterprises,Conglomerate
ADANIENT,2498.3,2023-10-10 05:30:00,2517.95,2443.0,2023-10,2443.0,1771910,2.2803569966429293,55.30000000000018,74.94999999999982,2023,10,Oct 2023,Adani Enterprises,Conglomerate
ADANIENT,2488.6,2023-10-11 05:30:00,2538.0,2482.5,2023-10,2533.9,1627836,-0.3882640195332909,-45.30000000000018,55.5,2023,10,Oct 2023,Adani Enterprises,Conglomerate
ADANIENT,2506.35,2023-10-12 05:30:00,2521.75,2490.65,2023-10,2499.9,1804818,0.7132524310857535,6.449999999999818,31.09999999999991,2023,10,Oct 2023,Adani Enterprises,Conglomerate
ADANIENT,2454.55,2023-10-13 05:30:00,2495.0,2422.35,2023-10,2488.9,2278682,-2.0667504538472214,-34.34999999999991,72.65000000000009,2023,10,Oct 2023,Adani Enterprises,Conglomerate
ADANIENT,2429.35,2023-10-16 05:30:00,2464.7,2421.85,2023-10,2454.55,803856,-1.0266647654356253,-25.200000000000273,42.84999999999991,2023,10,Oct 2023,Adani Enterprises,Conglomerate
